Date Time,ESZ8,Open,High,Low,Last,Volume,Open Interest,range,Over_50_points
2015-02-11,ESZ8,2010.0,2026.75,2000.5,2013.0,1295469,2749732,26.25,False
2015-02-12,ESZ8,2018.75,2032.75,2005.75,2031.25,1433910,2777622,27.0,False
2015-02-13,ESZ8,2030.25,2042.25,2028.75,2040.75,1224925,2776438,13.5,False
2015-02-17,ESZ8,2038.5,2046.0,2028.0,2043.25,1234818,2780511,18.0,False
2015-02-18,ESZ8,2043.75,2045.75,2035.75,2042.75,1088179,2782675,10.0,False
2015-02-19,ESZ8,2042.5,2046.75,2034.5,2042.5,1143901,2806657,12.25,False
2015-02-20,ESZ8,2043.25,2056.0,2029.5,2054.25,1645222,2826009,26.5,False
2015-02-23,ESZ8,2054.5,2055.5,2047.0,2054.0,849695,2835551,8.5,False
2015-02-24,ESZ8,2053.5,2063.0,2050.0,2061.0,1080747,2836074,13.0,False
2015-02-25,ESZ8,2061.0,2065.0,2054.5,2057.5,974711,2861642,10.5,False
2015-02-26,ESZ8,2057.75,2062.0,2048.75,2057.25,1176136,2866192,13.25,False
2015-02-27,ESZ8,2056.75,2058.25,2048.0,2050.0,1207187,2866335,10.25,False
2015-03-02,ESZ8,2051.25,2062.75,2047.75,2061.25,1075660,2871121,15.0,False
2015-03-03,ESZ8,2061.25,2061.75,2042.75,2052.0,1360995,2893603,19.0,False
2015-03-04,ESZ8,2052.0,2052.0,2032.5,2043.75,1490440,2910503,19.5,False
2015-03-05,ESZ8,2043.75,2050.75,2040.5,2047.0,1097593,2917569,10.25,False
2015-03-06,ESZ8,2046.75,2050.75,2012.75,2018.0,1901150,2987199,38.0,False
2015-03-09,ESZ8,2020.75,2029.75,2013.25,2025.0,1189658,2947997,16.5,False
2015-03-10,ESZ8,2024.75,2025.25,1988.5,1989.25,1903455,2942523,36.75,False
2015-03-11,ESZ8,1991.5,1999.5,1985.5,1986.75,1707510,2807778,14.0,False
2015-03-12,ESZ8,1989.5,2013.75,1985.5,2011.25,833748,875067,28.25,False
2015-03-13,ESZ8,2011.25,2016.0,1987.25,1997.0,1729733,1332264,28.75,False
2015-03-16,ESZ8,1998.0,2028.75,1992.0,2023.25,1698647,1793591,36.75,False
2015-03-17,ESZ8,2021.25,2025.25,2011.0,2021.0,1791792,2362080,14.25,False
2015-03-18,ESZ8,2021.0,2054.5,2007.0,2047.25,2013069,2586701,47.5,False
2015-03-19,ESZ8,2048.25,2053.75,2031.25,2036.25,1496920,2638127,22.5,False
2015-03-20,ESZ8,2034.25,2061.5,2032.5,2054.0,1417654,2608347,29.0,False
2015-03-23,ESZ8,2052.5,2061.75,2048.0,2049.5,957576,2607995,13.75,False
2015-03-24,ESZ8,2048.75,2055.75,2037.75,2039.75,1193863,2625047,18.0,False
2015-03-25,ESZ8,2040.0,2044.0,2007.0,2008.5,1777447,2620588,37.0,False
2015-03-26,ESZ8,2010.75,2013.5,1988.0,2003.25,1842218,2639622,25.5,False
2015-03-27,ESZ8,2004.75,2012.5,1995.75,2007.25,1158856,2640559,16.75,False
2015-03-30,ESZ8,2007.5,2036.5,2002.0,2030.25,1236364,2632578,34.5,False
2015-03-31,ESZ8,2029.5,2031.5,2011.0,2015.5,1596352,2655571,20.5,False
2015-04-01,ESZ8,2012.75,2015.5,1988.25,2007.75,1818878,2672112,27.25,False
2015-04-02,ESZ8,2010.0,2019.5,1998.75,2014.25,1047174,2645132,20.75,False
2015-04-03,ESZ8,2014.75,2018.5,1992.75,2014.25,95921,2650208,25.75,False
2015-04-06,ESZ8,1994.25,2034.75,1993.5,2028.0,948447,2654748,41.25,False
2015-04-07,ESZ8,2026.25,2037.5,2020.75,2022.5,1048474,2651631,16.75,False
2015-04-08,ESZ8,2023.25,2035.0,2019.25,2030.75,1217049,2644161,15.75,False
2015-04-09,ESZ8,2032.5,2041.75,2021.5,2040.5,1211778,2645082,20.25,False
2015-04-10,ESZ8,2040.75,2051.0,2037.75,2050.25,880529,2651679,13.25,False
2015-04-13,ESZ8,2050.0,2056.0,2040.0,2041.25,1080267,2650088,16.0,False
2015-04-14,ESZ8,2041.75,2047.5,2030.5,2045.75,1267366,2664126,17.0,False
2015-04-15,ESZ8,2046.5,2060.25,2042.0,2054.5,1045308,2666373,18.25,False
2015-04-16,ESZ8,2056.25,2059.5,2043.75,2055.5,1113607,2689405,15.75,False
2015-04-17,ESZ8,2056.0,2056.5,2019.25,2030.25,1822841,2702824,37.25,False
2015-04-20,ESZ8,2035.75,2052.25,2033.25,2045.75,1119881,2688683,19.0,False
2015-04-21,ESZ8,2044.25,2060.0,2042.0,2045.75,1052404,2683708,18.0,False
2015-04-22,ESZ8,2046.75,2058.5,2035.0,2055.0,1188586,2689547,23.5,False
2015-04-23,ESZ8,2054.0,2069.25,2042.25,2061.75,1362552,2713112,27.0,False
